level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,1414,2000,-1,
2,1,1,0,0,0,1334,35,14,16,-1,
3,1,1,1,0,0,1334,35,14,16,-1,
4,1,1,1,1,0,1334,35,14,16,-1,
5,1,1,1,1,1,1334,35,14,16,90,ъ
2,1,2,0,0,0,1168,61,179,47,-1,
3,1,2,1,0,0,1168,61,179,47,-1,
4,1,2,1,1,0,1168,61,99,13,-1,
5,1,2,1,1,1,1168,62,76,12,80,Приложечие
5,1,2,1,1,2,1249,61,18,10,78,№4
4,1,2,1,2,0,1168,79,179,12,-1,
5,1,2,1,2,1,1168,82,5,8,90,к
5,1,2,1,2,2,1179,79,58,12,84,Правилам
5,1,2,1,2,3,1243,81,62,10,71,перевозок
5,1,2,1,2,4,1310,81,37,10,10,грузов
4,1,2,1,3,0,1168,95,178,13,-1,
5,1,2,1,3,1,1168,95,96,12,59,автомобилэным
5,1,2,1,3,2,1269,98,77,10,42,транспортом.
2,1,3,0,0,0,1311,125,39,11,-1,
3,1,3,1,0,0,1311,125,39,11,-1,
4,1,3,1,1,0,1311,125,39,11,-1,
5,1,3,1,1,1,1311,125,39,11,82,Форма
2,1,4,0,0,0,525,151,793,25,-1,
3,1,4,1,0,0,525,151,793,25,-1,
4,1,4,1,1,0,525,151,793,25,-1,
5,1,4,1,1,1,525,151,168,25,92,Транспортная
5,1,4,1,1,2,705,155,122,18,92,накладная
5,1,4,1,1,3,1314,164,4,2,33,.
2,1,5,0,0,0,69,90,206,70,-1,
3,1,5,1,0,0,69,90,206,70,-1,
4,1,5,1,1,0,69,90,83,14,-1,
5,1,5,1,1,1,69,90,46,14,43,Немер
5,1,5,1,1,2,120,90,32,14,85,УПД:
4,1,5,1,2,0,70,116,205,16,-1,
5,1,5,1,2,1,70,116,51,16,92,Номер
5,1,5,1,2,2,128,118,55,10,90,заказа:
5,1,5,1,2,3,198,116,77,11,94,6336190935
4,1,5,1,3,0,70,144,190,16,-1,
5,1,5,1,3,1,70,144,35,16,86,Дата
5,1,5,1,3,2,112,147,54,10,92,заказа:
5,1,5,1,3,3,0,0,1414,2000,75,—
5,1,5,1,3,4,192,147,68,10,87,19.10.2020
2,1,6,0,0,0,67,247,1284,8,-1,
