level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,2000,1414,-1,
2,1,1,0,0,0,296,79,572,13,-1,
3,1,1,1,0,0,296,79,572,13,-1,
4,1,1,1,1,0,296,79,572,13,-1,
5,1,1,1,1,1,296,79,572,13,95, 
2,1,2,0,0,0,79,87,792,29,-1,
3,1,2,1,0,0,79,87,792,29,-1,
4,1,2,1,1,0,79,87,792,29,-1,
5,1,2,1,1,1,79,91,84,25,81,произвел`
5,1,2,1,1,2,360,94,68,11,67,‘должность
5,1,2,1,1,3,570,91,52,10,48,‘подписЬ
5,1,2,1,1,4,726,87,88,13,32,‘расшифровка
5,1,2,1,1,5,820,88,51,10,79,подписи
2,1,3,0,0,0,235,199,1256,29,-1,
3,1,3,1,0,0,235,199,1256,29,-1,
4,1,3,1,1,0,235,199,1256,29,-1,
5,1,3,1,1,1,235,199,1256,29,95, 
2,1,4,0,0,0,222,263,483,8,-1,
3,1,4,1,0,0,222,263,483,8,-1,
4,1,4,1,1,0,222,263,483,8,-1,
5,1,4,1,1,1,222,263,483,8,62,—
2,1,5,0,0,0,956,257,207,5,-1,
3,1,5,1,0,0,956,257,207,5,-1,
4,1,5,1,1,0,956,257,207,5,-1,
5,1,5,1,1,1,956,257,207,5,95, 
2,1,6,0,0,0,80,119,1749,163,-1,
3,1,6,1,0,0,80,119,1749,163,-1,
4,1,6,1,1,0,129,119,311,18,-1,
5,1,6,1,1,1,129,123,31,14,55,м.П.
5,1,6,1,1,2,275,121,19,14,93,25
5,1,6,1,1,3,301,119,79,18,92,сентября
5,1,6,1,1,4,387,119,40,14,94,2020
5,1,6,1,1,5,434,122,6,10,73,г
4,1,6,1,2,0,82,145,310,21,-1,
5,1,6,1,2,1,82,150,10,16,39,П
5,1,6,1,2,2,101,147,192,19,89,ТРАНСПОРТНЫЙ
5,1,6,1,2,3,303,145,89,21,92,РАЗДЕЛ
4,1,6,1,3,0,80,158,1749,38,-1,
5,1,6,1,3,1,80,179,41,17,90,Срок
5,1,6,1,3,2,127,181,76,14,92,доставки
5,1,6,1,3,3,211,180,43,15,65,груза
5,1,6,1,3,4,1644,159,34,14,0,ТТ
5,1,6,1,3,5,1686,159,18,13,73,№
5,1,6,1,3,6,1788,158,41,14,96,6996
4,1,6,1,4,0,80,189,1241,32,-1,
5,1,6,1,4,1,80,204,110,17,70,Организация
5,1,6,1,4,2,227,202,42,14,90,ООО
5,1,6,1,4,3,276,200,92,18,84,"""ДИАЛ-К"","
5,1,6,1,4,4,375,200,39,14,91,ИНН
5,1,6,1,4,5,420,198,102,15,90,"4016002681,"
5,1,6,1,4,6,527,197,74,17,81,"249611,"
5,1,6,1,4,7,609,197,97,17,92,Калужская
5,1,6,1,4,8,713,195,38,17,76,"обл,"
5,1,6,1,4,9,758,193,151,18,91,Спас-Деменский
5,1,6,1,4,10,917,197,32,14,73,"р-н,"
5,1,6,1,4,11,956,192,122,17,92,Спас-Деменск
5,1,6,1,4,12,1080,195,24,13,82,"г,"
5,1,6,1,4,13,1111,191,94,14,92,Советская
5,1,6,1,4,14,1212,193,25,14,72,"ул,"
5,1,6,1,4,15,1243,193,36,13,93,дом
5,1,6,1,4,16,1286,189,19,14,34,№
5,1,6,1,4,17,1313,189,8,13,34,3
4,1,6,1,5,0,669,216,406,15,-1,
5,1,6,1,5,1,669,221,93,8,34,"'наименование,"
5,1,6,1,5,2,772,220,37,11,68,"адрес,"
5,1,6,1,5,3,818,220,38,10,72,номер
5,1,6,1,5,4,861,217,62,13,62,"телефона,"
5,1,6,1,5,5,932,216,72,11,74,банковские
5,1,6,1,5,6,1009,218,66,10,0,реквизиты!
4,1,6,1,6,0,81,234,1619,32,-1,
5,1,6,1,6,1,81,251,103,15,90,Автомобиль
5,1,6,1,6,2,743,242,149,18,92,Государственный
5,1,6,1,6,3,899,241,17,14,91,№
5,1,6,1,6,4,1606,234,9,14,90,К
5,1,6,1,6,5,1622,237,78,14,90,путевому
4,1,6,1,7,0,444,255,1261,27,-1,
5,1,6,1,7,1,444,272,38,10,0,‘марка`
5,1,6,1,7,2,1633,258,47,14,91,листу
5,1,6,1,7,3,1687,255,18,13,87,№
2,1,7,0,0,0,82,283,1316,33,-1,
3,1,7,1,0,0,82,283,1316,33,-1,
4,1,7,1,1,0,82,283,1316,33,-1,
5,1,7,1,1,1,82,300,75,14,90,Заказчик
5,1,7,1,1,2,163,298,116,18,84,(плательщик)
5,1,7,1,1,3,0,0,2000,1414,38,_
5,1,7,1,1,4,304,296,43,15,38,ООО
5,1,7,1,1,5,353,295,92,18,69,"""ДИАЛ-К"","
5,1,7,1,1,6,452,294,38,15,92,ИНН
5,1,7,1,1,7,497,293,109,16,87,"4016002681,"
5,1,7,1,1,8,613,292,65,16,84,"249611,"
5,1,7,1,1,9,686,292,97,17,92,Калужская
5,1,7,1,1,10,789,290,39,17,56,"обл,"
5,1,7,1,1,11,834,288,153,18,92,Спас-Деменский
5,1,7,1,1,12,994,292,32,14,84,"р-н,"
5,1,7,1,1,13,1033,287,121,16,30,Спас-Деменск
5,1,7,1,1,14,1156,290,24,12,30,"г,"
5,1,7,1,1,15,1187,285,95,15,78,Советская
5,1,7,1,1,16,1288,288,26,14,79,"ул,"
5,1,7,1,1,17,1320,287,36,14,91,дом
5,1,7,1,1,18,1363,284,19,13,91,№
5,1,7,1,1,19,1375,283,23,14,90,3
2,1,8,0,0,0,709,312,405,15,-1,
3,1,8,1,0,0,709,312,405,15,-1,
4,1,8,1,1,0,709,312,405,15,-1,
5,1,8,1,1,1,709,316,92,9,24,"наименование,"
5,1,8,1,1,2,811,316,36,11,71,"адрес,"
5,1,8,1,1,3,856,315,39,11,71,номер
5,1,8,1,1,4,900,313,65,12,62,"телефона,"
5,1,8,1,1,5,971,312,72,10,88,банковские
5,1,8,1,1,6,1048,313,66,11,48,реквизить!
2,1,9,0,0,0,820,372,705,16,-1,
3,1,9,1,0,0,820,372,705,16,-1,
4,1,9,1,1,0,820,372,705,16,-1,
5,1,9,1,1,1,820,372,705,16,95, 
2,1,10,0,0,0,301,431,508,11,-1,
3,1,10,1,0,0,301,431,508,11,-1,
4,1,10,1,1,0,301,431,508,11,-1,
5,1,10,1,1,1,301,431,508,11,95, 
2,1,11,0,0,0,838,445,688,17,-1,
3,1,11,1,0,0,838,445,688,17,-1,
4,1,11,1,1,0,838,445,688,17,-1,
5,1,11,1,1,1,838,445,688,17,95, 
2,1,12,0,0,0,83,339,1625,180,-1,
3,1,12,1,0,0,83,339,1625,180,-1,
4,1,12,1,1,0,83,339,1612,26,-1,
5,1,12,1,1,1,83,348,80,17,92,Водитель
5,1,12,1,1,2,635,341,132,16,64,Удостоверение
5,1,12,1,1,3,774,339,17,14,91,№
5,1,12,1,1,4,1675,341,20,14,28,"Ко,"
4,1,12,1,2,0,83,344,1623,46,-1,
5,1,12,1,2,1,83,374,121,16,92,Лицензионная
5,1,12,1,2,2,212,375,75,14,92,карточка
5,1,12,1,2,3,332,373,107,14,78,стандартная
5,1,12,1,2,4,492,370,118,15,89,ограниченная
5,1,12,1,2,5,0,0,2000,1414,91,_
5,1,12,1,2,6,635,366,31,16,93,Вид
5,1,12,1,2,7,674,368,88,15,92,перевозки
